,lat,long,name,location,rating
88,43.7738205,-79.5271608,Subway,Jane and Finch,4.4
89,43.7562495,-79.5182713,Subway,Jane and Finch,3.5
90,43.7419173,-79.5143162,Gustitos de mi Tierra,Jane and Finch,4
91,43.7517319,-79.5269531,Aldo's Restaurant,Jane and Finch,4.1
92,43.7739584,-79.5315803,La Campagna Italian Cuisine And Catering,Jane and Finch,4.8
93,43.7672547,-79.5153795,Driftwood Fish & Chips,Jane and Finch,4.4
94,43.7523676,-79.5368973,Karahi Point,Jane and Finch,4.6
95,43.7609607,-79.5298076,Salam Social Club,Jane and Finch,4.3
96,43.7391523,-79.5260877,Capri Bagels & Buns Inc,Jane and Finch,4.2
97,43.756308,-79.5183644,Yummy Wok,Jane and Finch,4.2
98,43.7561432,-79.5155989,Taco Bell,Jane and Finch,3.8
99,43.778846,-79.3638457,Jerusalem Restaurant,North York,4.1
100,43.7512768,-79.4573874,Le Montmartre,North York,4.7
101,43.7306433,-79.4680106,Mustafa Turkish Kebap - Pide - Doner,North York,4.3
102,43.7468226,-79.4077734,Auberge du Pommier,North York,4.5
103,43.7603895,-79.4098082,Kinka Izakaya,North York,4.2
104,43.72667,-79.3421345,Sorento Restaurant - Italian & Mediterranean Cuisine,North York,4
105,43.7712472,-79.4131377,Symposium Cafe Restaurant & Lounge,North York,3.9
106,43.7638974,-79.4111753,Union Social Eatery,North York,4.1
107,43.7639835,-79.4113432,Sushi Moto,North York,4.3
108,43.7367475,-79.4385683,THE 5TH TASTE SUSHI RESTAURANT,North York,4.6
109,43.7714531,-79.4131762,Ajisen Ramen,North York,4.2
110,43.772727,-79.414129,Mezza Notte Trattoria,North York,4.1
111,43.7625115,-79.4114746,Nomé Izakaya,North York,4.4
112,43.774327,-79.442412,Belle Bar and Restaurant,North York,4.4
113,43.7728924,-79.3329637,Lara's Restaurant,North York,4.2
114,43.7686316,-79.4743435,Taj Restaurant,North York,4.5
115,43.7779901,-79.3440914,Moxie's Grill & Bar,North York,4
116,43.760144,-79.412026,Allwyn's,North York,4.4
117,43.7181913,-79.4297058,Europe Bar And Restaurant,North York,4.4
