,Count,Latitude,Longitude,Place_Name
0,473,43.771903,-79.4932,North York
1,67,43.771589,-79.501503,North York
2,35,43.72527687,-79.3799161,Toronto
3,34,43.78987134,-79.49681376,Concord
4,29,43.76796429,-79.50335212,North York
5,21,43.76808288,-79.50288481,North York
6,21,43.76800382,-79.50319635,North York
7,20,43.76804335,-79.50304058,North York
8,16,43.76434573,-79.50302022,North York
9,16,43.769112,-79.503523,North York
10,14,43.764747,-79.501461,North York
11,12,43.765606,-79.493584,North York
12,11,43.767757,-79.497467,North York
13,10,43.765606,-79.493584,North York
14,10,43.762051,-79.503649,North York
15,10,43.767083,-79.501086,North York
16,9,43.76536,-79.493059,North York
17,9,43.769501,-79.503286,North York
18,9,43.767258,-79.500147,North York
19,8,43.7622444,-79.50048427,North York
20,7,43.780925,-79.414462,North York
21,7,43.77616396,-79.41212529,North York
22,7,43.765606,-79.493584,North York
23,7,43.752827,-79.417922,North York
24,7,43.769381,-79.51878,North York
25,6,43.79400492,-79.56071575,Woodbridge
26,6,43.79311791,-79.43598605,North York
27,6,43.7679803,-79.4872619,North York
28,6,43.776862,-79.488875,North York
29,6,43.769018,-79.50571,North York
30,6,43.766658,-79.500854,North York
31,6,43.765413,-79.504125,North York
32,5,43.79774225,-79.46535929,Thornhill
33,5,43.78252333,-79.61871313,Woodbridge
34,5,43.789833,-79.417887,North York
35,5,43.78008066,-79.41872593,North York
36,5,43.78084363,-79.41078593,North York
37,5,43.7679803,-79.4872619,North York
38,5,43.76243665,-79.50052662,North York
39,5,43.768974,-79.50569,North York
40,5,43.77163,-79.510421,North York
41,5,43.75869983,-79.51041051,North York
42,5,43.75982736,-79.50850109,North York
43,5,43.774542,-79.525585,North York
44,5,43.7343,-79.593654,Etobicoke
45,5,43.752401,-79.58646,Etobicoke
46,4,43.807968,-79.459138,Vaughan
47,4,43.813279,-79.454487,Thornhill
48,4,43.788762,-79.484129,Concord
49,4,43.799337,-79.584933,Woodbridge
50,4,43.79071791,-79.61736604,Woodbridge
51,4,43.807171,-79.587196,Woodbridge
52,4,43.772559,-79.410934,North York
53,4,43.765606,-79.493584,North York
54,4,43.76204798,-79.493085,North York
55,4,43.751983,-79.488131,North York
56,4,43.755132,-79.48899,North York
57,4,43.76499968,-79.49468551,North York
58,4,43.765457,-79.498158,North York
59,4,43.767089,-79.498756,North York
60,4,43.754856,-79.518871,North York
61,4,43.747519,-79.544927,North York
62,4,43.703121,-79.549472,Etobicoke
63,3,43.760275,-79.592431,Woodbridge
64,3,43.7989872,-79.62201825,Woodbridge
65,3,43.81526389,-79.61156962,Woodbridge
66,3,43.78565434,-79.59133667,Woodbridge
67,3,43.796789,-79.45338,Thornhill
68,3,43.800543,-79.446838,Thornhill
69,3,43.80559172,-79.42878146,Thornhill
70,3,43.8060972,-79.46861477,Thornhill
71,3,43.81520573,-79.44992981,Thornhill
72,3,43.80314037,-79.46690073,Thornhill
73,3,43.80181637,-79.46503342,Thornhill
74,3,43.8069687,-79.46181828,Thornhill
75,3,43.811249,-79.461259,Thornhill
76,3,43.79675076,-79.47913027,Concord
77,3,43.79098821,-79.4830485,Concord
78,3,43.7868702,-79.47926559,Concord
79,3,43.78858839,-79.57599708,Woodbridge
80,3,43.78984176,-79.56621598,Woodbridge
81,3,43.78336086,-79.62178011,Woodbridge
82,3,43.789053,-79.4084928,North York
83,3,43.785612,-79.424244,North York
84,3,43.786067,-79.408151,North York
85,3,43.78276346,-79.41628708,North York
86,3,43.7966484,-79.42637686,North York
87,3,43.79568697,-79.42597342,North York
88,3,43.7817952,-79.41543748,North York
89,3,43.743084,-79.406466,North York
90,3,43.7635377,-79.41029712,North York
91,3,43.78035084,-79.41309999,North York
92,3,43.778824,-79.413451,North York
93,3,43.779194,-79.417593,North York
94,3,43.7722958,-79.45103457,North York
95,3,43.77097107,-79.45028347,North York
96,3,43.77102208,-79.45038196,North York
97,3,43.787356,-79.46962,North York
98,3,43.7679803,-79.4872619,North York
99,3,43.7476289,-79.48706648,North York
100,3,43.76206791,-79.50038242,North York
101,3,43.765567,-79.492094,North York
102,3,43.778666,-79.494877,North York
103,3,43.764499,-79.503692,North York
104,3,43.72477759,-79.51263914,North York
105,3,43.725425,-79.481614,North York
106,3,43.761172,-79.524721,North York
107,3,43.76569,-79.521118,North York
108,3,43.763902,-79.519192,North York
109,3,43.77220262,-79.51278048,North York
110,3,43.71635133,-79.4430093,North York
111,3,43.70182452,-79.44085645,York
112,3,43.706121,-79.488106,North York
113,3,43.7548445,-79.568254,North York
114,3,43.704015,-79.517621,York
115,3,43.70210667,-79.52293956,York
116,3,43.743531,-79.5871,Etobicoke
117,3,43.744269,-79.595458,Etobicoke
118,3,43.743996,-79.60009,Etobicoke
119,3,43.737776,-79.583805,Etobicoke
120,3,43.74708958,-79.58034395,Etobicoke
121,3,43.7470831,-79.58038835,Etobicoke
122,3,43.758579,-79.588989,Etobicoke
123,3,43.723073,-79.60127,Etobicoke
124,2,43.79934166,-79.41881211,Thornhill
125,2,43.80670519,-79.42624481,Thornhill
126,2,43.8152382,-79.40912297,Thornhill
127,2,43.80526286,-79.40708518,Thornhill
128,2,43.81191949,-79.36222508,Thornhill
129,2,43.81144476,-79.42259464,Thornhill
130,2,43.760275,-79.592431,Woodbridge
131,2,43.80463545,-79.62599012,Woodbridge
132,2,43.81352866,-79.61982667,Woodbridge
133,2,43.81499886,-79.61843125,Woodbridge
134,2,43.81500999,-79.6183515,Woodbridge
135,2,43.79106128,-79.45499872,Thornhill
136,2,43.81077657,-79.44716112,Thornhill
137,2,43.804442,-79.447122,Thornhill
138,2,43.80609585,-79.4282341,Thornhill
139,2,43.80377086,-79.46836544,Thornhill
140,2,43.80043482,-79.4721402,Thornhill
141,2,43.80012707,-79.46893945,Thornhill
142,2,43.79766884,-79.4654356,Thornhill
143,2,43.79624324,-79.46242444,Thornhill
144,2,43.80096853,-79.4630291,Thornhill
145,2,43.80036339,-79.46393849,Thornhill
146,2,43.79941104,-79.45783355,Thornhill
147,2,43.80104696,-79.45692705,Thornhill
148,2,43.80356958,-79.44841856,Thornhill
149,2,43.80607446,-79.46756756,Thornhill
150,2,43.80326339,-79.46189355,Thornhill
151,2,43.80615114,-79.45870786,Thornhill
152,2,43.810049,-79.472392,Thornhill
153,2,43.80641364,-79.45452466,Thornhill
154,2,43.80611761,-79.45618242,Thornhill
155,2,43.80676583,-79.46179742,Thornhill
156,2,43.80668575,-79.46178918,Thornhill
157,2,43.80217868,-79.43519471,Thornhill
158,2,43.79491007,-79.44382757,Thornhill
159,2,43.81078506,-79.45771722,Thornhill
160,2,43.81120264,-79.46035608,Thornhill
161,2,43.795266,-79.44132,Thornhill
162,2,43.80642693,-79.45396456,Thornhill
163,2,43.793777,-79.482333,Concord
164,2,43.80098075,-79.47648708,Concord
165,2,43.8024572,-79.474956,Concord
166,2,43.789561,-79.523263,Concord
167,2,43.799458,-79.586178,Woodbridge
168,2,43.77671787,-79.61200784,Woodbridge
169,2,43.77973647,-79.57417293,Woodbridge
170,2,43.77949888,-79.57533427,Woodbridge
171,2,43.77828355,-79.57968752,Woodbridge
172,2,43.789969,-79.609117,Woodbridge
173,2,43.79342592,-79.56420951,Woodbridge
174,2,43.79537984,-79.56772763,Woodbridge
175,2,43.80324299,-79.56231794,Woodbridge
176,2,43.80110362,-79.55839353,Woodbridge
177,2,43.79023192,-79.62491557,Woodbridge
178,2,43.78912943,-79.62310288,Woodbridge
179,2,43.78753851,-79.62407537,Woodbridge
180,2,43.78930505,-79.61696057,Woodbridge
181,2,43.80751034,-79.55748516,Woodbridge
182,2,43.78655832,-79.5740212,Woodbridge
183,2,43.79980502,-79.55638819,Woodbridge
184,2,43.80335131,-79.55249804,Woodbridge
185,2,43.784971,-79.61985,Woodbridge
186,2,43.78677224,-79.56509112,Woodbridge
187,2,43.77625251,-79.59770276,Woodbridge
188,2,43.78158432,-79.61941069,Woodbridge
189,2,43.78436429,-79.62102909,Woodbridge
190,2,43.78140764,-79.61951176,Woodbridge
191,2,43.781603,-79.598691,Woodbridge
192,2,43.79109353,-79.55568745,Woodbridge
193,2,43.79545066,-79.60451823,Woodbridge
194,2,43.79457491,-79.55493064,Woodbridge
195,2,43.776718,-79.595297,Woodbridge
