,Codes,lat,long,commute_time,commute_time_min
148,M3J 2S3,43.7772828,-79.4902496,2 mins,2
149,M3N 2P6,43.7671957,-79.515553,8 mins,8
150,M3J 2N6,43.7773832,-79.4881406,2 mins,2
151,M3N 2S6,43.7691014,-79.5169586,6 mins,6
152,M3N 1T4,43.7699874,-79.5185398,7 mins,7
153,M3J 2S8,43.7648508,-79.4934129,5 mins,5
154,M3J 2T6,43.7621174,-79.4974547,6 mins,6
155,M3N 2P7,43.7672931,-79.5166072,8 mins,8
156,L4K 5X6,43.7821725,-79.4999149,4 mins,4
157,M3J 2V2,43.7774484,-79.4888436,2 mins,2
158,M3J 3K4,43.7792888,-79.4895466,3 mins,3
159,M3N 1P4,43.7641384,-79.5144988,10 mins,10
160,M3N 1P5,43.7646979,-79.5141474,10 mins,10
161,M3N 2N9,43.7640744,-79.5130054,9 mins,9
162,L4K 0B6,43.7832952,-79.4944673,3 mins,3
163,M3J 2W1,43.7651822,-79.4906011,6 mins,6
164,M3N 2K7,43.7670278,-79.5185398,8 mins,8
165,M3N 3A7,43.77072,-79.5104577,8 mins,8
166,M3N 2P8,43.765714,-79.5171342,8 mins,8
167,M3J 1K6,43.7613239,-79.5016721,8 mins,8
168,M3N 1S5,43.7684408,-79.5194182,7 mins,7
169,M3J 2T1,43.7650165,-79.492007,8 mins,8
170,M3J 3L7,43.7802423,-79.4894587,3 mins,3
171,M3J 3G3,43.7631075,-79.4937644,6 mins,6
172,M3J 2Y9,43.779487,-79.4884921,3 mins,3
173,M3N 2N6,43.7626585,-79.5144988,9 mins,9
174,M3J 2V7,43.760927,-79.5037808,8 mins,8
175,M3N 2K8,43.7728133,-79.5202966,6 mins,6
176,M3N 2T6,43.7709145,-79.5201649,7 mins,7
177,M3N 2K9,43.7693612,-79.5197696,7 mins,7
178,M3N 2L1,43.7704462,-79.5199013,7 mins,7
179,M3N 2N8,43.7637441,-79.5142353,9 mins,9
180,M3J 3K5,43.7817535,-79.4906011,3 mins,3
